headline_id,date,ticker,sector,title,plain_score,enhanced_score,student_label,student_confidence,student_notes,review_complete
1425,2020-01-17,T,Comm,7 5G Stocks to Connect Your Portfolio To,0.0,0.0,neutral,3,General sector introduction with no explicit positive or negative sentiment,True
41913,2021-03-11,TMUS,Comm,"Notable Thursday Option Activity: TMUS, LRCX, FCX",0.0,0.0,neutral,4,Reports option trading activity only; does not reflect business performance,True
48492,2021-06-16,T,Comm,"Now That Nokia Is Free Cash Flow Positive, Prospects for a Dividend Are High",0.8442,0.8442,positive,5,Positive financial milestone and improved dividend outlook,True
103885,2023-02-02,TMUS,Comm,T-Mobile (TMUS) Beats on Q4 Earnings Despite Lower Revenues,0.2235,0.5978,positive,4,Earnings beat is positive; revenue decline is secondary,True
127932,2023-08-10,T,Comm,RBC Capital Maintains AT&T (T) Sector Perform Recommendation,0.0,0.0,neutral,4,Maintains existing rating; no upgrade or downgrade,True
11505,2020-04-08,DIS,Consumer,Netflix (NFLX) Toolkit to Help Parents Clean Child Content,0.6597,0.6597,positive,3,Product improvement supports brand reputation; indirect positive impact,True
29916,2020-09-29,DIS,Consumer,"Disney to Lay Off 28,000 Workers in Parks, Experiences, and Products Unit",0.0,0.0,negative,5,Large-scale layoffs typically signal business pressure and weakness,True
97721,2022-11-30,WMT,Consumer,Be Mindful About Retail ETF Investing This Holiday Season,0.4019,0.4019,neutral,3,General investment advice about ETFs; no direct sentiment toward WMT,True
104523,2023-02-08,DIS,Consumer,Commercial Metals and Ovintiv have been highlighted as Zacks Bull and Bear of the Day,0.0,0.0,neutral,4,Article discusses other companies; irrelevant to DIS with no sentiment,True
131034,2023-08-31,WMT,Consumer,3 Takeaways from the August Inflation Report,0.0,0.0,neutral,3,Macroeconomic analysis only; no direct impact or sentiment regarding WMT,True
22150,2020-06-16,XOM,Energy,"BUZZ-U.S. STOCKS ON THE MOVE-Eli Lilly, Turtle Beach, Eldorado Resorts",0.0,0.0,neutral,3,XOM not mentioned; neutral market recap with no sentiment,True
61273,2021-12-13,COP,Energy,Activist group targets Exxon with shareholder climate resolution,0.0,0.0,negative,4,Activist shareholder pressure introduces regulatory and reputational risks,True
83875,2022-07-13,OXY,Energy,"Zacks Investment Ideas feature highlights: Apple, Occidental Petroleum and HP",0.0,0.0,neutral,2,OXY is listed without any positive or negative commentary,True
84016,2022-07-14,COP,Energy,ConocoPhillips (COP) Dips More Than Broader Markets: What You Should Know,0.0,0.0,negative,4,Underperforming market performance suggests relative weakness,True
146107,2023-12-13,OXY,Energy,OXY August 2024 Options Begin Trading,0.0,0.0,neutral,5,New options listing is a routine event with no financial sentiment,True
